N,Operaciones,InsercionesBaratas,InsercionesCaras,EliminacionesBaratas,EliminacionesCaras
0,1,0,0,0,0
1,2,0,0,0,0
2,4,1,1,0,0
3,5,2,1,0,0
4,6,2,1,0,0
5,7,2,1,0,0
6,8,3,1,0,0
7,9,4,1,0,0
8,10,5,1,0,0
9,11,6,1,0,0
10,12,7,1,0,0
11,13,8,1,0,0
12,14,8,1,0,0
13,15,8,1,0,0
14,16,8,2,0,0
15,17,8,2,0,0
16,18,9,2,0,0
17,19,10,2,0,0
18,20,10,2,0,0
19,21,10,2,0,0
20,22,10,2,0,0
21,23,11,2,0,0
22,24,12,2,0,0
23,25,12,2,0,0
24,26,12,2,0,0
25,27,13,2,0,0
26,28,13,2,0,0
27,29,13,2,0,0
28,30,13,2,0,0
29,31,13,2,0,0
30,32,13,2,0,0
31,34,13,2,1,0
32,35,14,2,1,0
33,36,15,2,1,0
34,37,16,2,1,0
35,39,16,2,2,0
36,40,17,2,2,0
37,42,17,2,3,0
38,43,18,2,3,0
39,44,18,2,3,0
40,45,18,3,3,0
41,46,19,3,3,0
42,47,19,3,3,0
43,48,19,3,3,0
44,50,19,3,4,0
45,51,20,3,4,0
46,52,20,3,4,0
47,53,20,3,4,0
48,54,20,3,4,0
49,55,21,3,4,0
50,56,22,3,4,0
51,57,22,3,4,0
52,58,23,3,4,0
53,59,24,3,4,0
54,61,24,3,5,0
55,62,25,3,5,0
56,64,25,3,6,0
57,65,25,3,6,0
58,66,26,3,6,0
59,67,27,3,6,0
60,68,28,3,6,0
61,70,28,3,7,0
62,71,29,3,7,0
63,72,30,3,7,0
64,73,31,3,7,0
65,74,31,3,7,0
66,75,31,3,7,0
67,76,32,3,7,0
68,77,33,3,7,0
69,78,34,3,7,0
70,79,34,3,7,0
71,80,35,3,7,0
72,82,35,3,8,0
73,84,35,3,9,0
74,85,35,3,9,0
75,86,35,3,9,0
76,87,35,3,9,0
77,88,36,3,9,0
78,89,37,3,9,0
79,90,38,3,9,0
80,91,38,3,9,0
81,92,38,3,9,0
82,94,38,3,10,0
83,95,39,3,10,0
84,97,39,3,11,0
85,98,39,3,11,0
86,99,39,3,11,0
87,100,40,3,11,0
88,102,40,3,12,0
89,103,41,3,12,0
90,104,42,3,12,0
91,105,42,3,12,0
92,106,42,3,12,0
93,107,42,3,12,0
94,108,42,4,12,0
95,109,43,4,12,0
96,110,43,4,12,0
97,111,44,4,12,0
98,112,45,4,12,0
99,114,45,4,13,0
